"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"When he started crying I bursted😭❤️❤️❤️","Elyse Fisherrr","https://yt3.ggpht.com/ytc/AAUvwnhHdv0hAaj6CyOt-9pj7g3xYkPWEt5gpj4NRQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCMQ0EDuEfSbuw-WzV-cs9bA","UCMQ0EDuEfSbuw-WzV-cs9bA","0","2","2020-08-12T10:08:20Z","2020-08-12T10:08:20Z","UgweD8Pm5egpzk-vYwh4AaABAg",NA,"tJvCygyNH4I"
"God is good, it’s crazy how you’re on your 3rd baby!! I remember the day you did the baby shower for el like it was yesterday.. hope this baby boy knows you guys love him so much and he’s a blessing to be apart of the Ace family✊❤️","xMaddiex x","https://yt3.ggpht.com/ytc/AAUvwnhvSCQSEXEr77RlbTJQVG1yhZ7m_iua0PQ4fLKxaQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_xMpkkqD-2_HRlDSvdd1Tw","UC_xMpkkqD-2_HRlDSvdd1Tw","0","0","2020-08-12T05:10:26Z","2020-08-12T05:10:26Z","Ugwrh9NkmRbSjvKKDYh4AaABAg",NA,"tJvCygyNH4I"
"Skip to 13:44 for a nip slip","fox_ross","https://yt3.ggpht.com/ytc/AAUvwngG6kITlyxm4DOIVDjlP_7YiqdPlqNV4iStcyTC=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCI70Mtxw1CtwWqVqEkWqgKA","UCI70Mtxw1CtwWqVqEkWqgKA","0","0","2020-08-12T03:41:25Z","2020-08-12T03:41:25Z","UgxUXsrKJEmpuDqjvT54AaABAg",NA,"tJvCygyNH4I"
"The psychic was right","Gaming Peep","https://yt3.ggpht.com/ytc/AAUvwniGNPrLIrMLj_DlLsXLvtngg2Bl_sq0rfNLZkglYes=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCwgTe08VZOCJC9pVbfN9jWg","UCwgTe08VZOCJC9pVbfN9jWg","0","0","2020-08-12T02:52:03Z","2020-08-12T02:52:03Z","UgxEgzUK0Xe3v6l-ef54AaABAg",NA,"tJvCygyNH4I"
"This whole video screams the words ""divorce"" and ""child custody"" after it is filmed","Scaylex","https://yt3.ggpht.com/ytc/AAUvwniCqo6OPvooOSTXHtEn5AF-q4S7nnhh4xoHEqv03g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5wq0Z5bz0qLdKfiGLKh01Q","UC5wq0Z5bz0qLdKfiGLKh01Q","0","2","2020-08-11T19:53:39Z","2020-08-11T19:53:39Z","UgwJSVwFNTCeHISxzkV4AaABAg",NA,"tJvCygyNH4I"
"Omg this video was sooo amazing... ❤️😭","Jeanine Govender","https://yt3.ggpht.com/ytc/AAUvwngb3-UTl2uKD6MXRRTBkQDI4n4IvLOjzGcglw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCO5I1SEv-yMLhP16aYXJt8A","UCO5I1SEv-yMLhP16aYXJt8A","0","0","2020-08-11T19:32:46Z","2020-08-11T19:32:46Z","UgyxPknH9eln-XR68kJ4AaABAg",NA,"tJvCygyNH4I"
"She makes me feel comfortable....I’m about to give birth to a baby girl in October...she makes it look like it doesn’t hurt...","Michaela Hanson","https://yt3.ggpht.com/ytc/AAUvwnhEUlQZ33BmJSRzTNKOUKelSVk32v-wags7V0VvDQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSTLCsULB6kbadu7MqM9DZw","UCSTLCsULB6kbadu7MqM9DZw","18","248","2020-08-11T15:55:20Z","2020-08-11T15:55:20Z","UgzLh81qGZfjttlY2zF4AaABAg",NA,"tJvCygyNH4I"
"I am so sorry and I didn’t want to draw any attention to theirs but right around when the doctor hand Catherine your baby Her nipple is showing just wanted to let you know so you could take down the video and blur it again so Sorry to bring attention to this","Isabelle Conklin","https://yt3.ggpht.com/ytc/AAUvwniNHU-oaanlGdo-v3My_1IAla6yt8rKVdjax0TE0w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCglsT0lUTev-CTskmbXZv3w","UCglsT0lUTev-CTskmbXZv3w","1","0","2020-08-11T03:34:20Z","2020-08-11T03:34:20Z","UgxZOhzfGTOIKiL5M1h4AaABAg",NA,"tJvCygyNH4I"
"bless if something  is amazing is that Ace family made ppl to love have kids","yannis zaxaro","https://yt3.ggpht.com/ytc/AAUvwni1rq3SqvYarpFvtCXL5OrwD0XAaMey6_aOVg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUblLvl_YnVypOcsoJ0SLbw","UCUblLvl_YnVypOcsoJ0SLbw","0","0","2020-08-11T03:15:02Z","2020-08-11T03:15:02Z","UgyVjsD78wVx6C195H54AaABAg",NA,"tJvCygyNH4I"
"There's so much drama in this family","Adeyemi Oladipo","https://yt3.ggpht.com/ytc/AAUvwng3uppLXzY5N3wsb36pPzk8GTt-jAeeGVZHWvu5hg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCNAI0rKSFRHPcyAw2g2dLPw","UCNAI0rKSFRHPcyAw2g2dLPw","0","0","2020-08-11T01:13:59Z","2020-08-11T01:13:59Z","UgyecUz0RqSFmjC1Mg94AaABAg",NA,"tJvCygyNH4I"
