"channelId","channelTitle","Category","videoCount","viewCount","likeCount","dislikeCount","commentCount","Subcriptions"
"UCMiJRAwDNSNzuYeN2uWa0pA","Mrwhosetheboss","Tech",91,320539259,13292660,347493,1037321,6560000
"UCNbngWUqL2eqRw12yAwcICg","Laura in the Kitchen","Food",47,5982122,233124,3781,11170,3790000
"UCnBTvMFhuvbE_dhw2mo0NaQ","Sunny Lenarduzzi","Business",76,4086796,228580,5424,74374,512000
"UCnEn0EUV13IR-_TK7fiIp3g","Alfie Deyes Vlogs","Vlog",50,11774863,529587,8042,20001,3640000
"UCoMum0pwewO8_WtTlUQxGHw","CupcakeJemma","Food",64,15711159,452883,4836,26967,2140000
"UCOtoxvHLKrIlWbt4MRBWfbQ","RawBeautyKristi","Beauty",58,38780044,2369138,20938,361834,1210000
"UCOXFVINC6GCo86LBy0NQCIg","Romee Strijd","Celebrity",21,28077542,998647,8256,42274,1790000
"UCpKXTEQJDiOtfeLa23_U5hg","Kamp Kenan","Animal",152,16080097,585908,7674,55554,639000
"UCpqH8-BBNTsluhcOzFKWLuw","MATTY MATHESON","Food",78,29536515,767539,16171,72317,819000
"UCpyhJZhJQWKDdJCR07jPY-Q","Simnett Nutrition","Food",54,4180783,270249,2479,30703,540000
"UCq2E1mIwUKMWzCA4liA_XGQ","Pick Up Limes","Food",22,21758539,1043975,8530,36266,3340000
"UCqg2eLFNUu3QN3dttNeOWkw","iHasCupquake","Gaming",53,14593456,532239,8117,48256,6930000
"UCQhqmV26773qZhzqJz4VFcw","Homemade Wanderlust","Travel",67,6494572,252664,3534,58415,340000
"UCRSvEADlY-caz3sfDNwvR1A","Huda Beauty","Beauty",26,12392708,531950,12123,33895,4150000
"UCrUbqTCagwsaP2Fmr0p1TsA","Zoe Sugg","Beauty",50,35742653,1390684,16309,19103,4800000
"UCsQiYDzi0UtpdDIe7_DpcLw","Jordan Platten","Business",61,2666911,73709,1490,8339,145000
"UCsTcErHg8oDvUnTzoqsYeNw","Unbox Therapy","Tech",99,270943329,7203308,429733,720048,17800000
"UCswH8ovgUp5Bdg-0_JTYFNw","Russell Brand","Celebrity",153,38311067,1229064,40778,247517,2850000
"UCt_NLJ4McJlCyYM-dSPRo7Q","Lost LeBlanc","Travel",37,12868755,403962,14466,29261,1720000
"UCtinbF-Q-fVthA0qrFQTgXQ","CaseyNeistat","Vlog",30,53212396,2618404,61791,139666,12300000
"UCTr-klXfdXmrU9FEP987ueg","Josh Peck","Vlog",38,23828417,859015,11948,37051,3750000
"UCU-ZXqhx1xjsxO1ftXJELdg","KKandbabyJ","Family",43,8343287,380094,5906,12667,1170000
"UCuoxrRDDgk3UUnxR4tlkJYQ","Marie Forleo","Business",79,3797614,64172,1605,4953,691000
"UCuriCa9loP_OsH75_5j8M5w","JablinskiGames","Celebrity",24,38551312,1627505,23525,105009,4880000
"UCV6KDgJskWaEckne5aPA0aQ","Graham Stephan","Business",157,94507291,6900946,162249,603855,2960000
"UCVNYw6ZGvK1_OhF8OG1OrKA","The Edwards Family","Family",45,4572094,220133,2580,14381,1820000
"UCVrvnobbNGGMsS5n2mJwfOg","FunForLouis","Travel",8,1421336,27948,1431,2091,1990000
"UCWFKCr40YwOZQx8FHU_ZqqQ","JerryRigEverything","Tech",77,190853089,6713168,232351,612378,6620000
"UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family","Family",82,466683741,22393459,560313,1962717,1.9e+07
"UCxJrnvfqSSvly5hiq2Fe68g","SACCONEJOLYs","Family",103,15427292,654657,13259,54577,1790000
"UCxkbgf3doLf0XwmhIDTq28A","Yammy","Gaming",171,67992744,2609440,48261,306865,2690000
"UCXuqSBlHAE6Xw-yeJA0Tunw","Linus Tech Tips","Tech",90,180856751,6965102,169779,610535,13100000
"UCYONTR6PoZVJ4EcbOz3qdtw","Mike Vestil","Business",173,788030,25702,2889,3986,242000
"UCyqR7WkL8i1b6xtSssDmW9w","The Fitness Marshall","Fitness",55,44525760,657442,10991,21468,3140000
"UCYzPXprvl5Y-Sf0g4vX-m6g","jacksepticeye","Gaming",72,196528278,11027841,86698,912696,26500000
"UCZdQjaSoLjIzFnWsDQOv4ww","Sailing La Vagabonde","Travel",67,42730878,1686952,49661,96229,1540000
"UCzJIliq68IHSn-Kwgjeg2AQ","Jackie Aina","Beauty",8,8297763,400778,5656,20382,3590000
"UCzTKskwIc_-a0cGvCXA848Q","NikkieTutorials","Beauty",47,157384225,9192503,233050,813547,13800000
"UCZzFRKsgVMhGTxffpzgTJlQ","Zak George’s Dog Training Revolution","Animal",69,13765381,261042,6801,36424,3070000
