"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"Bruh I'm on day 5, the farthest ive ever gotten, and I do feel a difference when I do this. When I started the 2 weeks shred 2020, this felt like a whole HIIT workout but now it actually easier. I was able to get through the crossjacks without having to stop and do the low impact version in the middle of it. I was getting discouraged, but now I feel motivated to actually finish this program. Thank you Chloe!","Lumi","https://yt3.ggpht.com/ytc/AAUvwngezDZPLGqTxwIRYoXzu6iVyWhUh1QjANCj68IBKQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCra9fPq8rl-PF4QfNVdZn-Q","UCra9fPq8rl-PF4QfNVdZn-Q","0","4","2020-09-26T15:48:24Z","2020-09-26T15:48:24Z","Ugz2hBzYGUR8VPozcn14AaABAg",NA,"-p0PA9Zt8zk"
"me already out of breath at the WARMUP: 😳😅","Ally","https://yt3.ggpht.com/ytc/AAUvwnhX47LpV0_N8WZO78BoHL8HHpHFLlkQ6880r2PRG3M=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCjtf9RoF1b4OVqdoA9NWHiQ","UCjtf9RoF1b4OVqdoA9NWHiQ","0","0","2020-09-26T14:48:22Z","2020-09-26T14:48:22Z","Ugw-CdoUV96e8j2fA-14AaABAg",NA,"-p0PA9Zt8zk"
"why are your warmups optional?","Mahra Osama","https://yt3.ggpht.com/ytc/AAUvwnichcEdwulVm9m3XUJUTx1fP-z3JWd5Oi3Wrg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfnqKXVE2SB-Ba6Eqx6hZxg","UCfnqKXVE2SB-Ba6Eqx6hZxg","0","0","2020-09-26T14:43:58Z","2020-09-26T14:43:58Z","UgyCSSNvh-6eTwDBiYN4AaABAg",NA,"-p0PA9Zt8zk"
"I got warm after two minutes","Tiffany Graves","https://yt3.ggpht.com/ytc/AAUvwniSkxzk7Wtlyf81_DMtD27U-ubOUdy_ePl4TA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCpM3kyViaCKKVXc-f0V6inw","UCpM3kyViaCKKVXc-f0V6inw","0","0","2020-09-26T11:46:40Z","2020-09-26T11:46:40Z","UgxxNCXjNzJdaOVHik54AaABAg",NA,"-p0PA9Zt8zk"
"I just did this and feel amazing! Thanks Chloe 🤙🏻","sri ayu hayati","https://yt3.ggpht.com/ytc/AAUvwnjlOfjIO_Uf6NKQHTX1SW5LO7f4-6ALqJ84tw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCDiV0Y5g1IWrulNMNld00AQ","UCDiV0Y5g1IWrulNMNld00AQ","0","0","2020-09-26T11:29:23Z","2020-09-26T11:29:23Z","UgyYyiFS0WZhLVgXieF4AaABAg",NA,"-p0PA9Zt8zk"
"Anyone knows which sportsbra is she wearing here?:D","Sali0731","https://yt3.ggpht.com/ytc/AAUvwnjlXWPlaXIXedFOR9cuQP1AAG0EcJO-NYkrJw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCxgB9DUBFmChler9pZFBetw","UCxgB9DUBFmChler9pZFBetw","0","0","2020-09-26T10:18:14Z","2020-09-26T10:18:14Z","Ugx_R7TBzE9vyjQfu-B4AaABAg",NA,"-p0PA9Zt8zk"
"the arm circle thingy are literal hell, and that's why i realize i was weak and fat, yep","jasmine kalila","https://yt3.ggpht.com/ytc/AAUvwnjgzSMWL6eJ6Qj264FwWNCncWDOmc9bJ1cDKieJQxA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCq99lWpRrCYmvE2fCaYz3Qw","UCq99lWpRrCYmvE2fCaYz3Qw","0","0","2020-09-26T05:58:12Z","2020-09-26T05:58:12Z","Ugy437OciH7qfeM2q8h4AaABAg",NA,"-p0PA9Zt8zk"
"😚😚😚shahad😅😽🖒","mohamed ei","https://yt3.ggpht.com/ytc/AAUvwng5_N3dEa9HXu0rhHhhtThqMnzPDVKMwZVQvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnhTJukFMB9xjMbZfJSmseg","UCnhTJukFMB9xjMbZfJSmseg","0","1","2020-09-26T05:12:15Z","2020-09-26T05:12:15Z","UgwAU7w28apohCjymEJ4AaABAg",NA,"-p0PA9Zt8zk"
"Can someone please tell me for the hourglass challenge are we suppose to do all 4 videos everyday, like one after the other? Thanks","Little Big Galaxy","https://yt3.ggpht.com/ytc/AAUvwngZTnbKz-HDcVO9K00AvtWG01L3iyfXyvbi3w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC9VsClldsBNvPJIx9Kh8F3A","UC9VsClldsBNvPJIx9Kh8F3A","0","0","2020-09-26T03:37:36Z","2020-09-26T03:37:36Z","UgyXHr9PpN08q2xbYwZ4AaABAg",NA,"-p0PA9Zt8zk"
"When you still have 4 videos left","Zoe John","https://yt3.ggpht.com/ytc/AAUvwniQOtDQ6_pP-wKojZhiXLX3DJkn1NRWwlXpTqs5=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCP2n-q2jG-iFwccoKF_bHVw","UCP2n-q2jG-iFwccoKF_bHVw","0","2","2020-09-26T03:03:20Z","2020-09-26T03:03:20Z","UgxDzsaSh3aQQMmfFLJ4AaABAg",NA,"-p0PA9Zt8zk"
"1:14 im a superman uwuuwwuu🤣🤣","Rupam Barman","https://yt3.ggpht.com/ytc/AAUvwniSP0YtPLYNIruh0cdzGnRCKnw57VQEsjdt-DyGpA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCsTbiGY904XAgsOIgSmMDuA","UCsTbiGY904XAgsOIgSmMDuA","0","1","2020-09-26T02:17:34Z","2020-09-26T02:17:34Z","UgykRQqnO3ollGnMXHV4AaABAg",NA,"-p0PA9Zt8zk"
"Day 12 🥰","funworldelli","https://yt3.ggpht.com/ytc/AAUvwnhVxBK0Gxe9A3naXoZ22e30Y_9Tym0Ctbhz8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd_mSTcuz1IcxBctAx_8H6g","UCd_mSTcuz1IcxBctAx_8H6g","0","0","2020-09-25T16:22:06Z","2020-09-25T16:22:06Z","Ugxnwjta24XwdiLdjZt4AaABAg",NA,"-p0PA9Zt8zk"
"The first one was more like dancing to the music...","Nithya Harshavardan","https://yt3.ggpht.com/ytc/AAUvwnjrrgjzQwyxHwBaMhxkb3mqJxRCkBoqdBBSUQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC0edtRweojfHnHPFGiBDp7Q","UC0edtRweojfHnHPFGiBDp7Q","0","0","2020-09-25T12:56:13Z","2020-09-25T12:56:13Z","UgwtOxQU75CZPTFUDqJ4AaABAg",NA,"-p0PA9Zt8zk"
"Why my body acting like THIS the workout lmfao","sinnabum","https://yt3.ggpht.com/ytc/AAUvwnhOnLzVbhjI6x4_lby0iRmLYbKyPTa1VoOfEtd35Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnn6msl9nMewduVFnXeqpzw","UCnn6msl9nMewduVFnXeqpzw","0","0","2020-09-25T12:34:24Z","2020-09-25T12:34:24Z","UgyU4uYlU5VF0ljktrh4AaABAg",NA,"-p0PA9Zt8zk"
